round,tick,weapon_name,is_headshot,penetration_amount,has_replay,is_flash_assist,is_through_smoke,is_attacker_blind,is_noscope,second,player_id_fixed,attacker_id_fixed,assister_id_fixed,player_x_pos,player_y_pos,player_z_pos,player_x_vel,player_y_vel,player_z_vel,player_phi_ang,player_theta_ang,player_weapon_code,player_team_code,attacker_x_pos,attacker_y_pos,attacker_z_pos,attacker_x_vel,attacker_y_vel,attacker_z_vel,attacker_phi_ang,attacker_theta_ang,attacker_weapon_code,attacker_team_code,assister_x_pos,assister_y_pos,assister_z_pos,assister_x_vel,assister_y_vel,assister_z_vel,assister_phi_ang,assister_theta_ang,assister_weapon_code,assister_team_code
10,58526,ak47,False,0,False,0,0,0,0,914.46875,10,2,,269.44488525390625,2224.6728515625,-69.65625,23.765625,93.296875,-22.0,130.20205688476562,144.83517456054688,42,3,-1225.6214599609375,2226.90380859375,3.3267154693603516,1.3046875,155.28125,-4.16693115234375,94.62799072265625,0.068328857421875,7,2,,,,,,,,,,
10,58800,mp7,False,0,False,0,0,0,0,918.75,6,1,3,1143.02392578125,2892.333251953125,127.78107452392578,-61.5703125,60.828125,0.75439453125,92.70606994628906,-134.49737548828125,7,2,367.1553649902344,1999.843017578125,95.57610321044922,157.87890625,-152.53125,-3.79736328125,90.0604248046875,48.790283203125,33,3,1116.204833984375,893.1005249023438,-0.30523681640625,206.53125,59.73046875,-0.51953125,90.84835815429688,68.875,7,3
10,58895,ak47,True,0,False,0,0,0,0,920.234375,4,3,,1415.8804931640625,2560.970947265625,65.23793029785156,25.3515625,-47.640625,-13.04150390625,89.15679931640625,-152.47512817382812,13,2,1295.7742919921875,894.4921264648438,1.0312519073486328,0.0,0.0,0.0,87.86521911621094,86.0614013671875,7,3,,,,,,,,,,
10,59673,ak47,True,0,False,0,0,0,0,932.390625,2,3,,273.0916748046875,1885.7696533203125,99.0006103515625,0.0,0.0,0.0,89.65084838867188,41.080291748046875,7,2,1265.281494140625,2741.23779296875,127.03125,35.5234375,-42.4375,0.0,91.24420166015625,-138.79681396484375,7,3,,,,,,,,,,
11,62401,awp,False,0,False,0,1,0,0,975.015625,5,8,,653.603759765625,844.9833374023438,0.035172462463378906,75.04296875,-82.86328125,0.427734375,94.27197265625,-99.15229797363281,7,3,648.8137817382812,-265.3907470703125,-0.28961181640625,19.6875,0.09765625,0.3671875,90.34332275390625,90.0950927734375,9,2,,,,,,,,,,
11,62941,ak47,True,0,False,0,0,0,0,983.453125,10,6,,796.0589599609375,2605.823486328125,94.70697784423828,129.19140625,-77.828125,-0.52197265625,89.82765197753906,-119.31632995605469,40,3,370.92254638671875,1843.8465576171875,95.37151336669922,34.8203125,-18.7421875,-0.876953125,90.37387084960938,61.18629455566406,7,2,,,,,,,,,,
11,64313,p90,False,0,False,0,0,0,0,1004.890625,6,1,,1550.4478759765625,1245.84814453125,1.03125,-4.015625,11.6796875,0.0,91.56211853027344,-161.03622436523438,7,2,519.02880859375,911.4732666015625,2.2271623611450195,-18.33203125,64.375,0.280792236328125,97.03433227539062,18.594024658203125,19,3,,,,,,,,,,
11,64450,sg556,True,0,False,0,0,0,0,1007.03125,1,9,,524.321533203125,980.197998046875,0.6526083946228027,57.171875,62.546875,1.365234375,98.4814453125,-48.19221496582031,19,3,666.6152954101562,810.8191528320312,0.3601865768432617,0.0,0.0,0.0,95.97140502929688,133.275146484375,39,2,,,,,,,,,,
11,64585,galilar,False,0,False,0,1,0,0,1009.140625,3,4,,503.4715576171875,2255.54833984375,-123.222412109375,-23.330078125,63.0625,-5.05859375,60.141571044921875,22.442657470703125,7,3,877.480712890625,2413.237548828125,127.05288696289062,15.82421875,-34.671875,0.0,124.74357604980469,-155.5547332763672,13,2,,,,,,,,,,
11,65134,ssg08,False,0,False,0,0,0,0,1017.71875,7,2,,-763.4150390625,2146.9521484375,-113.72454833984375,-0.8515625,14.671875,-0.91796875,87.72891235351562,3.353240966796875,40,3,1517.320068359375,2265.45556640625,-3.96539306640625,6.3984375,-77.9375,-8.4140625,93.06312561035156,-177.2352294921875,40,2,,,,,,,,,,
12,67336,awp,True,0,False,0,0,0,0,1052.125,9,3,,-140.59454345703125,499.3898010253906,-0.2666015625,33.33203125,-145.84765625,-1.4765625,85.81661987304688,103.32675170898438,44,2,-600.1452026367188,2379.325927734375,-103.87164306640625,-5.625,26.609375,4.9140625,86.88606262207031,-76.3388442993164,9,3,,,,,,,,,,
12,68683,awp,False,0,False,0,0,0,0,1073.171875,6,3,,568.5017700195312,663.6221923828125,1.254549503326416,0.0,0.0,0.0,91.89205932617188,37.41943359375,7,2,1536.2442626953125,1419.099609375,1.0312519073486328,0.0,0.0,0.0,90.80441284179688,-142.25303649902344,9,3,,,,,,,,,,
12,68882,ak47,False,0,False,0,0,0,0,1076.28125,10,4,,606.4559326171875,649.037841796875,1.060105800628662,77.046875,8.21875,-0.415313720703125,96.82009887695312,-91.24351501464844,61,3,616.7837524414062,495.77764892578125,1.085141658782959,0.0,0.0,0.0,97.05014038085938,93.50979614257812,7,2,,,,,,,,,,
12,72768,mp7,False,0,False,0,0,0,0,1137.0,2,1,7,-1462.024169921875,1893.0943603515625,2.9745073318481445,-43.3359375,-24.234375,-3.13287353515625,96.86920166015625,119.60025024414062,7,2,-1343.5618896484375,2171.7333984375,2.18388032913208,-161.8359375,-140.640625,1.014862060546875,94.50198364257812,-113.31298828125,33,3,-1607.8682861328125,2138.66015625,12.3125,-82.765625,-61.609375,-250.0,91.73617553710938,-59.92870330810547,61,3
12,72834,m4a1_silencer,False,0,False,0,0,0,0,1138.03125,4,5,10,-1475.3638916015625,2810.253662109375,8.696733474731445,-119.1640625,132.640625,-14.74566650390625,77.89031982421875,13.362808227539062,7,2,-1402.7723388671875,2783.914306640625,68.984375,30.4609375,-22.296875,-198.0,156.93763732910156,-163.55587768554688,60,3,,,,,,,,,,
